,Symbol,Count,Max Close value,Min Close value,Oldest Date,Recent Date
45,KSBBL,1161,845.0,139.0,2020-06-29,2025-05-28
46,SHIVM,1161,1800.0,392.0,2020-06-29,2025-05-28
47,NTC,1161,1779.0,591.0,2020-06-29,2025-05-28
48,NABIL,1161,1653.0,422.0,2020-06-29,2025-05-28
49,ADBL,1161,597.0,223.4,2020-06-29,2025-05-28
50,NBL,1161,564.0,196.4,2020-06-29,2025-05-28
51,GMFBS,1161,2282.0,651.0,2020-06-29,2025-06-11
52,NRIC,1161,1977.0,344.0,2020-06-29,2025-05-28
53,GRDBL,1161,2001.4,107.0,2020-07-02,2025-06-05
54,NMB,1161,510.8,169.4,2020-06-29,2025-05-28
55,JBBL,1161,623.0,157.0,2020-06-29,2025-05-28
56,NICL,1161,1241.0,320.0,2020-06-29,2025-05-28
57,RADHI,1161,1300.0,164.0,2020-06-29,2025-06-05
58,MLBL,1161,882.0,176.0,2020-06-29,2025-05-28
59,SBI,1161,530.0,256.9,2020-06-29,2025-05-28
60,LBBL,1161,729.8,169.0,2020-06-29,2025-05-28
61,SICL,1161,2830.0,678.0,2020-06-29,2025-05-28
62,RLFL,1161,777.0,120.0,2020-06-29,2025-06-05
63,CZBIL,1161,442.0,154.0,2020-06-29,2025-05-28
64,LLBS,1161,2524.0,617.1,2020-06-29,2025-06-05
65,PRVU,1161,519.0,133.4,2020-06-29,2025-05-28
66,BFC,1161,898.0,86.0,2020-06-29,2025-05-28
67,UPCL,1161,610.0,67.0,2020-06-29,2025-06-05
68,CHCL,1161,752.0,348.0,2020-06-29,2025-05-28
69,RHPL,1160,579.0,137.0,2020-06-29,2025-05-28
70,SLBBL,1160,1644.0,535.0,2020-06-29,2025-05-28
71,JOSHI,1160,511.4,46.2,2020-06-29,2025-06-05
72,NLICL,1160,1349.0,495.6,2020-06-29,2025-05-28
73,RSDC,1160,1164.0,417.0,2020-06-29,2025-05-28
74,UPPER,1160,908.0,153.1,2020-06-29,2025-05-28
75,ILBS,1160,2120.0,555.0,2020-06-29,2025-05-28
76,GHL,1160,521.0,51.0,2020-07-05,2025-06-05
77,MFIL,1160,1370.0,240.0,2020-06-29,2025-05-28
78,KMCDB,1160,1685.0,540.0,2020-06-29,2025-06-05
79,HURJA,1159,639.9,87.0,2020-06-29,2025-05-28
80,STC,1159,13317.0,2494.0,2020-06-29,2025-06-04
81,TRH,1159,1423.4,177.0,2020-06-29,2025-05-28
82,ICFC,1158,1176.8,163.0,2020-06-29,2025-05-28
83,SFCL,1158,1016.3,97.0,2020-07-05,2025-06-05
84,GMFIL,1158,745.0,110.0,2020-06-29,2025-05-28
85,KPCL,1158,840.0,102.0,2020-06-29,2025-05-28
86,FOWAD,1158,3348.0,988.0,2020-06-29,2025-05-28
87,UMHL,1158,630.0,98.0,2020-06-29,2025-05-28
88,AKJCL,1158,492.4,48.0,2020-06-29,2025-05-28
89,NMBMF,1158,1597.8,467.0,2020-06-30,2025-05-28
90,SIFC,1158,764.9,140.0,2020-06-29,2025-05-28
91,HDHPC,1157,440.0,86.0,2020-06-29,2025-06-04
92,PPCL,1157,607.0,100.0,2020-06-29,2025-05-28
93,HLBSL,1157,1800.0,530.0,2020-07-01,2025-05-28
94,CFCL,1156,800.0,117.0,2020-06-29,2025-05-28
95,CHL,1156,679.0,78.0,2020-07-05,2025-05-28
96,DHPL,1156,441.1,47.05,2020-07-05,2025-05-28
97,CORBL,1156,2749.0,113.0,2020-07-02,2025-06-04
98,UNHPL,1156,560.0,49.0,2020-06-29,2025-05-28
99,HPPL,1155,726.0,131.0,2020-06-29,2025-05-28
100,MHNL,1155,685.0,78.0,2020-07-06,2025-05-28
101,SINDU,1155,1370.0,120.0,2020-06-29,2025-05-28
102,NHDL,1154,997.6,113.0,2020-06-29,2025-06-04
103,NFS,1154,2418.0,127.0,2020-07-06,2025-05-28
104,GLBSL,1154,3333.3,589.1,2020-06-30,2025-06-11
105,PMHPL,1154,465.0,69.0,2020-06-29,2025-05-28
106,PROFL,1154,801.9,100.0,2020-06-29,2025-06-04
107,BARUN,1153,750.0,79.0,2020-07-01,2025-05-28
108,SMFBS,1151,3055.0,732.0,2020-06-29,2025-06-05
109,MPFL,1151,888.0,104.0,2020-07-07,2025-05-28
110,IGI,1149,1416.0,340.1,2020-06-29,2025-06-04
111,KKHC,1148,505.7,45.2,2020-07-06,2025-05-28
112,VLBS,1145,2024.0,556.0,2020-06-29,2025-06-05
113,SMB,1142,4026.2,780.0,2020-06-29,2025-05-28
114,RBCL,1135,23594.0,8400.0,2020-06-29,2025-06-04
115,NRN,1127,2113.21,286.2,2020-08-26,2025-06-11
116,KBL,1122,409.8,130.4,2020-06-29,2025-06-04
117,BNT,1122,17899.0,5847.0,2020-07-05,2025-05-28
118,SLBSL,1121,2960.0,590.0,2020-06-29,2025-06-11
119,USLB,1108,2761.0,610.0,2020-08-31,2025-06-04
120,NMFBS,1105,3900.0,906.0,2020-07-01,2025-06-05
121,SKBBL,1105,2123.0,779.0,2020-06-29,2025-05-28
122,LEC,1104,519.0,138.6,2020-09-20,2025-05-28
123,LUK,1099,15.68,7.56,2020-09-14,2025-06-11
124,BBC,1088,7462.0,1500.0,2020-06-29,2025-06-05
125,SSHL,1078,505.0,132.0,2020-10-29,2025-05-28
126,PRIN,1077,1140.0,340.0,2020-06-29,2025-06-11
127,ACLBSL,1071,1857.0,492.0,2020-07-29,2025-06-05
128,UNL,1054,55000.0,17387.0,2020-07-01,2025-06-04
129,UMRH,1053,1133.0,204.0,2020-12-20,2025-06-11
130,NABBC,1051,1995.78,295.0,2020-12-03,2025-05-28
